x,y
5647.0000000000,0.0509549792
5646.5000000000,0.0422303199
5646.0000000000,0.0414492699
5645.5000000000,0.0412411923
5645.0000000000,0.0446330458
5644.5000000000,0.0693059912
5644.0000000000,0.0794081908
5643.5000000000,0.0588079855
5643.0000000000,0.0454190037
5642.5000000000,0.0412411923
5642.0000000000,0.0404097321
5641.5000000000,0.0404097321
5641.0000000000,0.0400982846
5640.5000000000,0.0409812150
5640.0000000000,0.0406174698
5639.5000000000,0.0403058951
5639.0000000000,0.0406694174
5638.5000000000,0.0404097321
5638.0000000000,0.0394241351
5637.5000000000,0.0396833176
5637.0000000000,0.0391132903
5636.5000000000,0.0386473790
5636.0000000000,0.0385956375
5635.5000000000,0.0384921701
5635.0000000000,0.0384404443
5634.5000000000,0.0382335936
5634.0000000000,0.0384404443
5633.5000000000,0.0383887237
5633.0000000000,0.0379751486
5632.5000000000,0.0377684871
5632.0000000000,0.0377168348
5631.5000000000,0.0380268271
5631.0000000000,0.0377684871
5630.5000000000,0.0386991259
5630.0000000000,0.0382852984
5629.5000000000,0.0384921701
5629.0000000000,0.0385439011
5628.5000000000,0.0385439011
5628.0000000000,0.0402020792
5627.5000000000,0.0437960271
5627.0000000000,0.0551067773
5626.5000000000,0.1420936169
5626.0000000000,0.2109114328
5625.5000000000,0.1223783694
5625.0000000000,0.0619942883
5624.5000000000,0.0441097477
5624.0000000000,0.0409812150
5623.5000000000,0.0410851899
5623.0000000000,0.0440574475
5622.5000000000,0.0775615187
5622.0000000000,0.1024007686
5621.5000000000,0.0690862027
5621.0000000000,0.0462061780
5620.5000000000,0.0399945111
5620.0000000000,0.0391132903
5619.5000000000,0.0379751486
5619.0000000000,0.0384921701
5618.5000000000,0.0377684871
5618.0000000000,0.0384404443
5617.5000000000,0.0374070313
5617.0000000000,0.0378718073
5616.5000000000,0.0370458322
5616.0000000000,0.0380785109
5615.5000000000,0.0379751486
5615.0000000000,0.0375102782
5614.5000000000,0.0377168348
5614.0000000000,0.0373038054
5613.5000000000,0.0379234753
5613.0000000000,0.0379751486
5612.5000000000,0.0378718073
5612.0000000000,0.0380268271
5611.5000000000,0.0374070313
5611.0000000000,0.0370974164
5610.5000000000,0.0381301999
5610.0000000000,0.0375102782
5609.5000000000,0.0376651878
5609.0000000000,0.0381818941
5608.5000000000,0.0380785109
5608.0000000000,0.0378201446
5607.5000000000,0.0384921701
5607.0000000000,0.0390097176
5606.5000000000,0.0392168842
5606.0000000000,0.0387508780
5605.5000000000,0.0388026354
5605.0000000000,0.0391650846
5604.5000000000,0.0415533406
5604.0000000000,0.0482058222
5603.5000000000,0.0795764030
5603.0000000000,0.2184448950
5602.5000000000,0.1833568814
5602.0000000000,0.0932744886
5601.5000000000,0.0510610133
5601.0000000000,0.0441097477
5600.5000000000,0.0425952207
5600.0000000000,0.0437437591
5599.5000000000,0.0582699069
5599.0000000000,0.1136089205
5598.5000000000,0.0916639389
5598.0000000000,0.0592388586
5597.5000000000,0.0442666806
5597.0000000000,0.0416053840
5596.5000000000,0.0400982846
5596.0000000000,0.0402539845
5595.5000000000,0.0403058951
5595.0000000000,0.0403578109
5594.5000000000,0.0399945111
5594.0000000000,0.0400463952
5593.5000000000,0.0402020792
5593.0000000000,0.0393204991
5592.5000000000,0.0388543980
5592.0000000000,0.0384404443
5591.5000000000,0.0383887237
5591.0000000000,0.0388026354
5590.5000000000,0.0378718073
5590.0000000000,0.0382335936
5589.5000000000,0.0381301999
5589.0000000000,0.0383370084
5588.5000000000,0.0380785109
5588.0000000000,0.0380785109
5587.5000000000,0.0378718073
5587.0000000000,0.0375102782
5586.5000000000,0.0376135460
5586.0000000000,0.0370974164
5585.5000000000,0.0369942533
5585.0000000000,0.0378201446
5584.5000000000,0.0379234753
5584.0000000000,0.0380268271
5583.5000000000,0.0378201446
5583.0000000000,0.0380268271
5582.5000000000,0.0377684871
5582.0000000000,0.0379751486
5581.5000000000,0.0386991259
5581.0000000000,0.0382852984
5580.5000000000,0.0395796288
5580.0000000000,0.0405135903
5579.5000000000,0.0464688404
5579.0000000000,0.0837998898
5578.5000000000,0.2128025815
5578.0000000000,0.1579377488
5577.5000000000,0.0795203261
5577.0000000000,0.0473629084
5576.5000000000,0.0415533406
5576.0000000000,0.0399945111
5575.5000000000,0.0415533406
5575.0000000000,0.0612364083
5574.5000000000,0.1058731680
5574.0000000000,0.0773381345
5573.5000000000,0.0500016655
5573.0000000000,0.0404097321
